iter	PRAUC	Logloss
0	0.1382116923	0.6036849727
1	0.1731707945	0.5365891479
2	0.2141611705	0.4824125295
3	0.2231285719	0.4432775829
4	0.2483822166	0.40953179
5	0.2697527362	0.3845107306
6	0.2653238651	0.3660388339
7	0.2657186834	0.3499485609
8	0.2854404023	0.3372113434
9	0.3104871267	0.3262642135
10	0.329903959	0.3180406044
11	0.3349590056	0.3113201062
12	0.3371821114	0.3054964136
13	0.3416968811	0.3008573612
14	0.345377396	0.296680606
15	0.3504187782	0.2930748435
16	0.3555823715	0.289825198
17	0.3615896115	0.2871627283
18	0.362718187	0.2852210914
19	0.3676131119	0.2833125242
20	0.3676380658	0.2812849367
21	0.37011979	0.279417188
22	0.3732990345	0.2778165532
23	0.3787441858	0.2763361784
24	0.3800100337	0.2751694506
25	0.3840313575	0.2740215507
26	0.3870624142	0.2731506667
27	0.3900010406	0.2722128748
28	0.3922034223	0.2714086687
29	0.3951627869	0.2701432396
30	0.3974143318	0.2692660547
31	0.4007397443	0.2683942176
32	0.4028192362	0.2677565283
33	0.4040160523	0.2671284242
34	0.4063768329	0.2664850236
35	0.4073722278	0.2657418177
36	0.4085901576	0.2650548041
37	0.4125608651	0.2641977528
38	0.4143672025	0.2635403798
39	0.416980289	0.2629933232
40	0.4201527602	0.2622003999
41	0.4221076479	0.2615922959
42	0.4242738549	0.2608220265
43	0.425952409	0.2602184668
44	0.4275264181	0.2598731554
45	0.4280224884	0.2594068474
46	0.4304998147	0.2588331939
47	0.4323658141	0.2582450572
48	0.43451092	0.2575890658
49	0.4361299775	0.2570119443
50	0.4376289298	0.2565868977
51	0.4383320865	0.2561671489
52	0.43964781	0.2556224324
53	0.4398994441	0.2551475541
54	0.4405406298	0.2547604535
55	0.4411425295	0.2545257662
56	0.4427846915	0.2540818468
57	0.4446805113	0.2535971264
58	0.4478732898	0.2530640835
59	0.4506739323	0.2524841516
60	0.4517087742	0.2520895835
61	0.4538198477	0.251650878
62	0.4565895318	0.2511458185
63	0.4577658866	0.2508154261
64	0.4583459077	0.2504994478
65	0.460122963	0.2500960353
66	0.4605638778	0.2498416221
67	0.4613541459	0.2494118707
68	0.4627307041	0.2490879584
69	0.4647559173	0.2486225915
70	0.4649767593	0.2484451084
71	0.4654373669	0.2482044897
72	0.4672822562	0.2477803986
73	0.4704926902	0.2472082385
74	0.4732646734	0.2466287322
75	0.4746601183	0.2463237318
76	0.4754646106	0.2459572266
77	0.4771670383	0.2456598142
78	0.4782724154	0.245427091
79	0.4798270782	0.2450874479
80	0.4822217893	0.244702093
81	0.4833300216	0.2444915676
82	0.4840031313	0.2442521215
83	0.4853872888	0.2438694388
84	0.4855174604	0.2436164666
85	0.4873436279	0.2431861596
86	0.4892002432	0.2427623617
87	0.490385786	0.2425107204
88	0.4921333103	0.2421993489
89	0.4943957859	0.2418213067
90	0.4968295353	0.2414007733
91	0.4986605756	0.241002733
92	0.499954761	0.2406934881
93	0.5012259839	0.2403420266
94	0.50352529	0.2398570355
95	0.5047495489	0.2396070753
96	0.5070635862	0.2390886389
97	0.5099708646	0.2385648576
98	0.512794586	0.2381183546
99	0.514275822	0.2377435943
