iter	Passed	Remaining
0	10	1020
1	19	941
2	28	927
3	39	939
4	48	928
5	59	929
6	69	922
7	79	914
8	89	909
9	101	917
10	112	911
11	122	898
12	131	883
13	142	876
14	152	863
15	162	852
16	171	839
17	182	831
18	192	819
19	202	809
20	212	797
21	222	787
22	232	777
23	242	766
24	252	756
25	261	744
26	271	735
27	281	724
28	292	715
29	302	704
30	312	694
31	322	684
32	332	674
33	342	664
34	352	654
35	362	644
36	372	634
37	383	626
38	394	617
39	404	606
40	415	597
41	425	587
42	435	577
43	446	567
44	456	557
45	466	547
46	477	537
47	486	526
48	496	516
49	506	506
50	516	496
51	526	486
52	536	476
53	546	465
54	556	455
55	567	445
56	578	436
57	588	425
58	598	415
59	608	405
60	618	395
61	628	385
62	639	375
63	649	365
64	659	355
65	669	344
66	679	334
67	689	324
68	698	314
69	708	303
70	719	293
71	731	284
72	740	273
73	750	263
74	760	253
75	770	243
76	780	233
77	791	223
78	801	213
79	811	202
80	821	192
81	831	182
82	841	172
83	851	162
84	861	151
85	870	141
86	880	131
87	890	121
88	900	111
89	910	101
90	921	91
91	931	81
92	941	70
93	951	60
94	960	50
95	970	40
96	980	30
97	990	20
98	1000	10
99	1010	0
