feature,median_rank,final_rank
time_step,1.0,1
397_6,2.0,2
158_8,5.0,3
158_9,6.0,4
272_3,6.0,5
397_0,8.5,6
167_1,11.0,7
158_0,12.0,8
666_0,14.5,9
459_14,15.5,10
167_6,16.0,11
272_2,19.5,12
459_16,20.0,13
158_3,20.0,14
158_6,22.5,15
397_2,23.0,16
397_3,23.0,17
272_0,24.5,18
272_4,25.0,19
272_5,26.0,20
272_6,27.5,21
397_12,30.0,22
167_3,32.0,23
397_13,32.5,24
167_5,33.0,25
272_1,35.0,26
459_9,35.5,27
309_0,35.5,28
158_5,36.0,29
167_0,36.5,30
291_4,38.0,31
158_1,39.5,32
459_0,40.0,33
171_0,42.0,34
291_0,42.5,35
459_15,42.5,36
835_0,43.0,37
100_0,44.5,38
397_7,45.5,39
167_2,46.0,40
837_0,48.0,41
397_24,48.0,42
459_8,48.5,43
291_10,49.0,44
397_1,49.0,45
167_7,50.5,46
397_31,51.0,47
158_7,52.0,48
167_4,52.5,49
459_7,53.5,50
397_30,54.0,51
397_33,55.0,52
397_17,56.5,53
459_10,56.5,54
459_17,56.5,55
291_3,58.0,56
397_25,58.0,57
397_19,59.0,58
291_5,59.5,59
397_18,60.0,60
397_8,60.0,61
459_3,61.0,62
167_9,61.5,63
397_32,63.0,64
397_34,63.0,65
397_15,63.5,66
158_2,66.0,67
459_1,66.5,68
397_9,67.5,69
397_5,67.5,70
291_6,67.5,71
459_6,68.5,72
397_21,68.5,73
459_12,68.5,74
291_2,69.0,75
459_13,69.5,76
291_1,70.0,77
397_14,70.5,78
397_16,71.5,79
272_7,73.0,80
158_4,74.5,81
397_29,75.0,82
397_10,76.5,83
459_11,76.5,84
397_27,77.0,85
397_11,77.5,86
459_19,77.5,87
397_4,78.0,88
397_35,78.5,89
370_0,80.5,90
397_26,81.5,91
459_2,81.5,92
397_23,82.5,93
167_8,83.0,94
291_8,83.5,95
397_20,84.0,96
427_0,86.5,97
459_4,87.0,98
397_28,87.5,99
459_18,89.5,100
291_7,89.5,101
397_22,92.0,102
459_5,95.0,103
291_9,97.0,104
272_8,101.0,105
272_9,104.0,106
